CODIGO,NATUREZA_OCORRENCIA,FORMA,MUNICIPIO,BAIRRO,TIPO_LOCAL_FATO,DATA_FATO,HORA_FATO,NOME_MEIO_EMPREGADO,SEXO,NUMR_IDADE_ESTIMADA,DESC_GRAU_INSTRUCAO,NARRATIVA,PERIODO
31,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,OUTRO,2024-05-20 00:00:00.000,1970-01-01 18:29:00,OUTRO(S),FEMININO,78.0,PREJUDICADO,que  dia 052024  brasil  falou tava passando cartao vitima loja shopping estação cuiaba  vitima ficou desesperada começou falar suposto gerente  acreditando ajudaria resolver pediu dados cartao conta passando  logo apos descoberto extato bancario varios saque compra periodo noturno  somando valor r 7600  nao condições vitima visando ja idade avançada nao disponibilidade fazer tal movimentação  nunca gasto valor expressivo nesse devidas providências                 nada declarar,noite
35,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,INTERNET,2024-05-17 00:00:00.000,1970-01-01 20:30:00,ELETRÔNICO,FEMININO,50.0,PREJUDICADO,que  vitima conta ag 14 cc 6192360 bradesco sa  dia 170524 volta 20 recebeu ligação falando bradesco passando atendente bia  falando ponto resgatado  iriam expirar dia seguinte nao fizesse resgate  vitima seguiu informações seguida fizeram emprestimo pessoal r 25930 seguida efetuaram 3 pagamento boleto cobrança  valores r 3  r 4999 r 1500  vitima noa reconhece nenhum dessas transferencias emprestimo                  nada declarar,noite
36,FURTO,CONSUMADO,CUIABA,PREJUDICADO,INTERNET,2024-04-10 00:00:00.000,1970-01-01 06:30:00,OUTRO(S),MASCULINO,51.0,PREJUDICADO,que  data 10042024 vitima compareceu propriedade rural chegar verificou portão furtado  tratar chacara ninguem aconteceu nao viram ocorrido ,manhã
37,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,INTERNET,2024-04-05 00:00:00.000,1970-01-01 12:00:00,ELETRÔNICO,FEMININO,68.0,PREJUDICADO,que  data dia 05044 descoberto aberto conta nome vitima feito 1 emprestimo dia 0607 valor r 19976  dezenove setenta seis centavos  outro dia 122022 valor r 209544  dois mil noventa cinco quarenta quatro reais   nao consentimento vitima nao sabia existencia dessas duas operações  canal contratação dessas operações banco cod 66 mobile                  nada declarar,tarde
39,ESTELIONATO,CONSUMADO,CUIABA,SANTA CRUZ,CASA COMERCIAL,2024-05-27 00:00:00.000,1970-01-01 08:00:00,OUTRO(S),FEMININO,37.0,PREJUDICADO,comparece comunicante informar suspeito ofereceu emprestar r mil juro 10  pegaria amigo chamado deixar veiculo audi avaliado valor r 600 mil ficaria garantia pagamento  data agosto comunicante entrou contato suspeito efetuar pagamento pegar veiculo colocou dificuldades receber valores  inclusive demonstrava queria ficar veiculo valia 15x valor havia sido pego emprestado  devido dificuldade  40 mil conta suspeito  suspeito disse nao iria devolver veículo ja dizia veiculo posse facçao criminosa tampouco policia poderia recuperar  diante informacao comunicante disse iria fazer boletim ocorrencia passou ameacada suspeito após fatos suspeito fazia diversas manobras informando comunicante devia  suspeito historico criminal agressoes  inclusive contra policiais  porteiro predio  mulhers outras pessoas  veiculo apareceu veiculo garagem autovol colocandoa venda enganando garagem tambem  inteira responsabilidade comunicante ,manhã
40,ESTELIONATO,CONSUMADO,CUIABA,MORADA DA SERRA,CASA COMERCIAL,2024-05-20 00:00:00.000,1970-01-01 21:52:00,SEM INSTRUMENTO,FEMININO,51.0,PREJUDICADO,relata declarante dia 24 fez compra supermercado comper unidade cpa  onde compra valor r 3380 1832  ato continuo dirigiu casa  logo igreja  2152 recebeu sms comunicando havia sido efetuado compra mercado comper cpa  valor r 73  mesma relata cartao desde 23 nunca nenhum problema  atendeu pediu celular pra colocar cpf senha cartao  ato comunicante viu estranhezasendo loja 88 caixa 0102 cod  305771  sendo assim requer medidas cabiveis ,noite
42,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,RESIDÊNCIA PARTICULAR,2025-04-03 00:00:00.000,1970-01-01 13:30:00,OUTRO(S),FEMININO,24.0,2º GRAU COMPLETO,comunicante   informa havia entrado ação contra empresa aristocrata tecnologia apoio admministrativo onde trabalhava cidade curitiba  contato nome advogado   foto á enviou  80281 dizendo havia ganhado causa deveria realizar pix pagamento  alvará quitação sob imposto renda  valor r 2  vítima  1  1 mil reais  r 1790  mil novecentos noventa sete noventa centavos   nome joanil conta  43 681x  agência  34991  banco brasil  tia vítima  conta  cpf     673283     will financeira    pix   conta corrente  entrar contato escritório advocacia  informada havia sofrido golpe  narrar criminalmente ,tarde
44,ESTELIONATO,TENTADO,CUIABA,PREJUDICADO,INTERNET,2025-04-14 00:00:00.000,1970-01-01 10:00:00,ELETRÔNICO,FEMININO,60.0,SUPERIOR COMPLETO, 03 mesma recebeu primeira mensagem    requerimento bloqueio contas bens andamento reconhecimento titulo  evite cancelamento credito 677 5   durante dias hoje  mensageiros continuaram enviar mensagens sobre bloqueio contas  dia 14042025  vítima recebeu mensagem via sms 1222   concedido processo civil requerimento p bloqueio contas linhas créditos conformidade lei art 835 cpc 08 165 79   29274   mesmos enviaram vítima boleto acordo extrajudicial contendo todos dados informações contas  suspeito disse dívida 26459 r  vinte seis mil quatrocentos cinquenta oito cinquenta nove centavos   porém  diminuiriam valor dívida vítima aceitasse acordo  fechando valor 6948 r  seis mil novecentos quarenta oito  acordo feito assinado vítima utilizando aplicativo  zapsign   empresa beneficiaria  open invest cobranças serviços financ ltda  cnpj  58231375 000142  vítima conseguiu realizar pagamento possuir conta possível transferência sendo  bmg   tentou induzir vítima criar conta banco digital  mercado pago   recarga pay  efetuar pagamento  ir serasa  empresa confirmou mesma possuía dívida nome  pagamento realizado            relatar ,manhã
45,ESTELIONATO,CONSUMADO,CUIABA,PREJUDICADO,RESIDÊNCIA PARTICULAR,2024-10-08 00:00:00.000,1970-01-01 19:30:00,ELETRÔNICO,MASCULINO,27.0,PREJUDICADO,guarnição vtr 3d49  extraordinaria moinho  acionada via celular deslocar local fato atender ocorrência desacordo comercial  chegar local guarnição conversa partes envolvidas constatado tratase golpe estelionato  golpe olx  onde durante negociação motocicleta  yamaha neo  vítima elizangela r 1900 reais após transferência todos contatos suspeito   bloqueados  diantes fatos guarnição encaminhou partes envolvidas central flagrantes onde confeccionado boletim ocorrência  obs  vítimas deslocaram central flagrantes meios próprios ,noite
48,ESTELIONATO,CONSUMADO,CUIABA,NOVO HORIZONTE,OUTRO,2025-01-20 00:00:00.000,1970-01-01 15:00:00,OUTRO(S),FEMININO,25.0,PREJUDICADO,nesta data veio comunicante  nesta delegacia  informando seguinte fato  intimada comparecer nesta depol  poara ouvida referente carta precatoria estado sao paulo  crime estelionato  consta comunicante aberto conta bancaria banco inter  feitos tres transferencia referida conta valores diferente  consta comunicante desconhece conta sendo vitima estelionato ,tarde
49,ESTELIONATO,CONSUMADO,CUIABA,CPA 3,OUTRO,2024-08-23 18:18:00.000,1970-01-01 18:18:00,OUTRO(S),FEMININO,45.0,SUPERIOR INCOMPLETO,abrir mei  recebi email pagamento  fiz pix appmax valor r 9100mas fiquei sabendo vírus  liguei banco caixa economica federal contestação pediram análise 11 dias pediram registrar ocorrido forma alerta outras pessoas ,noite
50,ESTELIONATO,CONSUMADO,CUIABA,CIDADE VERDE,OUTRO,2024-07-16 00:00:00.000,1970-01-01 20:24:00,OUTRO(S),FEMININO,23.0,PREJUDICADO,comunicante narra época 170524 procurou vendedor veiculo compra placa nop onde estana sendo oferecido r  reais parcelados x r  reais  comunicante preencheu contrato enviado banco bv futura aprovação  porem  nesse interim  interveio enrrolou semana disse transação venda veiculo hyundai inviavel causa defeitos mecanicos garantiu anulação contrato financiamento veiculo placa nop ofereceu outro renault sandero cor branca  sendo efetivado financiamento banco pan  entretanto  mês chegou cobranças banco bv respeito financiamento veiculo hyundai hb20 confort branco placa nop8252 valor r  reais parcelados x r 156200 reais  comunicante queixouse prometeu cancelar então emprestimo r r 4301460 reais  porem  novamente mentiu enganoua deixando comunicante situação complicada  comunicante tambem procurou banco bv cancelar emprestimo  porem  prazo cancelamento sete dias  registrase ,noite
51,OUTRAS FRAUDES,CONSUMADO,CUIABA,BELA VISTA,OUTRO,2024-02-22 00:00:00.000,1970-01-01 14:13:00,OUTRO(S),MASCULINO,38.0,PREJUDICADO,comunicante possui filho possui problemas neurológicos responde atos  filho acabou envolvendo mulher nome  suspeita  ficando juntos sete anos filho  entretanto  srª luciana aproveitou condições psicológicas realizar diversos emprestimos bancarios  porem  alem ter dificuldades  ser pne  tambem analfabeto  filho trabalha auxiliar manutenção univag usando desse tipo crédito  fez emprestimos consignados pis  caixa feito diversos empréstimos usando fgts pis  filho sabe pra onde todo dinheiro emprestimos  razão desses emprestimos forma ilicita diante condições dele  registrase ,tarde
52,OUTRAS FRAUDES,CONSUMADO,CUIABA,JARDIM UNIVERSITARIO,OUTRO,2024-02-07 00:00:00.000,1970-01-01 09:18:00,OUTRO(S),MASCULINO,21.0,SUPERIOR INCOMPLETO,comunicante denuncia vitima fraude praticado primo vitor  comunicante possui cadastro locadora localiza certa vez alugou veiculo primo utilizou devolveu normalmente  ocorre primo autorização conhecimento colocou aplicativo localiza aparelho celular aproveitando cadastro acabou  alugando outro veiculo sendo fiat argo drive 10 prata placa tudo nome comunicante  soube fraude caiu mensagens utilização cartão online cadastrado localiza  primo acabou sofrendo acidente transito capotando referido veiculo 27 16hs bairro ribeirão lipa  rodovia arquiteto helder candia  condominio brasil beach  cidade cuiaba  alem desse crime  primo registrou boletim online numero 29984 30012024 novamente passando comunicante inserindo endereço  telefone  data nascimento incorretos comunicante ,manhã
53,OUTRAS FRAUDES,CONSUMADO,CUIABA,PARQUE CUIABA,CASA COMERCIAL,2024-11-22 18:20:00.000,1970-01-01 18:20:00,OUTRO(S),MASCULINO,52.0,2º GRAU COMPLETO,volta 1820 cunhado procurou trabalho  dizendo recebeu whatsapp solicitação pix 800 nesse momento percebi desaparecido whatsapp celular  imediatamente face publiquei whatsapp sido clonado  tarde 3 tentativa entrar face também  vários amigos ligaram informando pedindo pix  momento whatsapp ,noite
54,ESTELIONATO,CONSUMADO,CUIABA,ITAPUA,RESIDÊNCIA PARTICULAR,2024-11-09 11:00:00.000,1970-01-01 11:00:00,OUTRO(S),MASCULINO,32.0,2º GRAU COMPLETO,dia 082024  volta 11h manhã  comunicante recebeu email pagbank informando valor disponível aumentar limite cartão crédito  clicou opção querer aumentar limite  após tirou selfie celular gerou código  após digitar código perdeu todas mensagens acesso whatsapp  telefone    terceiros passando pedir dinheiro  logo após ocorrido trocou telefone comunicando amigos familiares novo   ,manhã
55,ESTELIONATO,CONSUMADO,CUIABA,BAU,HOSPITAL,2024-11-06 17:00:00.000,1970-01-01 17:00:00,OUTRO(S),FEMININO,23.0,SUPERIOR COMPLETO,trabalhando  plantão  recebo ligação numero desconhecido  sendo numero    apresentou integrante comando vermelho  perguntando aonde noite anterior  ocorrencia furto região cuidava região escritório pais  fica rua  comando vermelho  após apresentação  perguntaram forma ameaçadora agressiva satisfeita serviço faziam  ameaçando queimar depredar escritorio caso negasse aceitar taxa cobrando  devido localização escritorio  inicialmente cobrado valor r 10  bandidos afirmaram taxa anual deveriamos pagar  passaram alves ramos  registrado numero cpf 166397 05729 ameaçavam falando iriam entrar dentro hospital matariam  após realizar transferencia  quais pix  sendo r 5 outra r 51  ambas realizadas conta fisica banco sicoob  assim realizei transferencia  bandidos pediram horario comprovante  2849  após primeiro pagamento  contnuaram ameaçando  falando nome estaria caderno comando asteristico sinalizando devia valor r  organização referente anos morava região nunca pagado  taxa segurança  mudaram valor deveria pagar r 25  denominaram  taxa unica   afirmando nunca masi precisaria pagar taxa novamente  afirmava constantemente conseguiria pagar valor ameaçava cada vez forma agressiva  afirmando entrariam hospital  encheriam cara tiro   queimariam escritório matariam pais funcionarios  sempre alternavam conversando  hora homem dizia denominavam comando principal financeiro  passavam ligação outro homem denominava soldado outro homem apresentou diego  realizei 3 transferencias  agora outro pix  afirmaram  estagiária  chamada samantha aparecida  registrada pix numero cpf 1795 704 realizei 3 tranferencias total conta  todas partir conta fisica banco sicoob  transferencias r 4999  r 2 r 3 respectivamente  sendo realizadas horario 4101 4333 brasilia  após pagamento  continuaram ameaçando  agora cobrando suposta divida r 130  representava todos anos pagamos taxa imposta  cheguei realizar transferencia bandidos  agora outro pix  titular  registrado cpf 194852 44738 valor r 50 184809  apos ultima transferencia  desliguei ligação continuaram ligando ameaçando mensagem 1h constantemente  desliguei celular volta 20h00 noite ontem  061124  cessaram ameaças mensagens  abri chamado banco sinalizar abertura med transações realizadas entrei contato gerente ,tarde
56,ESTELIONATO,TENTADO,CUIABA,SANTA HELENA,NAO ESPECIFICADO,2024-05-13 16:20:00.000,1970-01-01 16:20:00,OUTRO(S),FEMININO,52.0,SUPERIOR COMPLETO,recebido continuamente  inclusive enquanto local trabalho  ligações celular falsas centrais bancárias  gravação informa sobre suposta compra autorizada  confirmar preciso falar atendente  tudo falso  banco alertou  ocorre bloqueio ligam outro  chegam atrapalhar trabalho  hoje fique ligação falar tal  atendente  acusei golpista  falei importunar mais  cidadão chegou ameaçar  dizendo iria processar falsa acusação  números recentes ligaram  9239   8408  65  981119559 imagino números celulares  polícia consiga chegar responsáveis linhas ,tarde
57,ESTELIONATO,CONSUMADO,CUIABA,JARDIM UNIVERSITARIO,INTERNET,2025-01-17 00:00:00.000,1970-01-01 17:00:00,OUTRO(S),MASCULINO,43.0,PREJUDICADO,comunicante denuncia ontem dia 012025 volta 17hs aplicativo whatsapp hackeado  criminosos passaram suporte usado facil enviaram link atualização  porem  reenviar codigo observou aparelho tratavase estelionato  criminosos  comunicante ja alertou sobre ocorrido redes sociais ,tarde
58,ESTELIONATO,CONSUMADO,CUIABA,RESIDENCIAL COXIPO,INTERNET,2025-01-02 00:00:00.000,1970-01-01 12:00:00,OUTRO(S),FEMININO,63.0,1º GRAU INCOMPLETO,comunicante narra financiou r 198 reais divididos 48x r 66398 reais banco bv financeira contrato  denuncia pagou parcela nº 2611 122024 respectivamente  porem  tomou conhecimento tratavase boletos falsos pois ligou cobrando alegando recebimento referidas parcelas  entretanto  comunicante garante retirou boletos site oficial bv financeira   digitar cpf aparece dados pessoais  valores direcionado whatsapp aonde emitido boletos  vale ressaltar agora  atualmente direcionado  narra questionar banco bv financeira respondeu irá analisar posterior entrará contato  comunicante ainda pontua pagou duas parcelas amigo  banco caixa economica federal  destinados acesso soluções pagamento sa  pag cnpj 13140088 000199 pag seguro sa  respectivamente ,tarde
60,ESTELIONATO,CONSUMADO,CUIABA,GRANDE TERCEIRO,INTERNET,2024-10-15 00:00:00.000,1970-01-01 12:00:00,OUTRO(S),FEMININO,41.0,SUPERIOR COMPLETO,comunicante denuncia meados mês outubro2024 conta instagran  polonrafaela  hackeada criminosos  conta hoje ativa  criminosos postam venda produtos geladeira  celular  outros  passando comunicante  tentando enganar contatos  amigos familiares dela  comunicate alertou redes sociais sobre ocorrido ,tarde
61,ESTELIONATO,CONSUMADO,CUIABA,PICO DO AMOR,INTERNET,2024-12-21 00:00:00.000,1970-01-01 10:00:00,OUTRO(S),MASCULINO,41.0,PREJUDICADO,comunicante denuncia vitima estelionato  data ontem  recebeu mensagem via whatsapp aonde criminoso passava funcionario clonado vez pediu r 1 vale juridica cnpj banco sicredi realizou pix valor r 550 rodrigo silva araujoinstiuição banco bradesco  tal rozino pediu dinheiro comunicante novamente usou conta banco santander realizou pix valor r 0  data hoje manha ligaram passando central segurança banco santander alertando eduarda suspeita fraude comunicante precisava realizar procedimento estornar valor  enviaram código  1 verificar autenticidade  tratavase comunicante  nesse processo solicitava diversas transações pix variados garantiam devolução valores imediato  foram  comunicante utilizou conta banco santander realizando pix r 1 brasil valor r 1 sicredi valor r 1 reais  comunicante usou banco brasil valor r 1 banco brasil valor r 3000 reais processo repetiu duas vezes  todas transações criminosas feitas data hoje 21122024 destinados nascimentoisntiuição pagseguro internet ip sa  fim estelionato ainda aplicativo whatsapp hackeado ,manhã
63,ESTELIONATO,CONSUMADO,CUIABA,CIDADE VERDE,INTERNET,2024-12-21 00:00:00.000,1970-01-01 04:27:00,OUTRO(S),FEMININO,27.0,2º GRAU COMPLETO,comunicante narra possui conta plataforma jogos  tigrinho  saldo r 3 reais  tentou sacalos acesso bloqueado entrou contato própria plataforma através telegran pediram r 1 reais   1 reais destinado dynamic pay pagamentos ltda cnpj psp   comunicante então desconfiou tratavase estelionato  visto telegran disseram sacar r 4 reais deveria pagar r 3000 reais  viu golpe ,madrugada
64,ESTELIONATO,CONSUMADO,CUIABA,CANJICA,INTERNET,2024-11-20 00:00:00.000,1970-01-01 18:14:00,OUTRO(S),FEMININO,58.0,PREJUDICADO,comunicante denuncia vitima estelionato homem entrou contato passando irmão  nessa conversa pedia dinheiro viu foto mesma perfil irmão mesma utilizou conta banco santander acabou fazendo pix r 6 reais r 65500 reais conta nome divino tristao godois  pagseguro  comunicante desconfiou descobriu data hoje  21112024  cobrar irmão ,noite
65,ESTELIONATO,CONSUMADO,CUIABA,PARQUE CUIABA,INTERNET,2024-09-07 08:00:00.000,1970-01-01 08:00:00,OUTRO(S),MASCULINO,18.0,2º GRAU COMPLETO,dia 06 conversando pessoa vendendo celular facebook  nao mt  e  conforme conversávamos  pessoa questao enviaria celular mim intermédio correio  sendo assim  pedi provas validar identidade pessoa  assim  enviou documentos   hoje dia 0709  combinado enviaria celular  enviaria pagamento  1900 reais   então foi agência correios enviar  princípio pediu pagar frete  desse modo  paguei   tenho todos comprovantes transação  disse precisava mandar dinheiro  porque correios pediu  a pessoa questão passou telefone gerente  correio conversei ele  enviei pix  logo seguida disse precisava enviar mais  porem nao tinha  diante disso  inviei pagamento  assim  mesma 1 mes 29 dias criação  logo  percebi tudo golpe  conseguinte constatei banco mercado pago  agora preciso bo veracidade ocorrido  tudo ocorreu menos 3h  precisava comprovar tudo golpe  dar ênfase  provar tudo  conversando pessoa ainda  falando precisa dinheiro correio libere envio celular  tese  so descobri golpe porque recebeu pix suspeita e  também  nao razao social correios  alem golpista pedindo dinheiro nao querer devolver enviei ,manhã
66,ESTELIONATO,CONSUMADO,CUIABA,VILLAGE FLAMBOYANT,INTERNET,2024-08-23 18:30:00.000,1970-01-01 18:30:00,OUTRO(S),FEMININO,23.0,SUPERIOR COMPLETO,boa noite  data hoje  23 agosto 2024  recebi mensagem facebook mulher nome  cristiane andrade   querendo comprar aparelho ginastica vendendo atraves marketplace facebook  mulher solicitou venda feita atraves plataforma enjoei  vi problemas  aceitei fazer plataforma  fiz cadastro anunciei  aceitou proposta enviou email  informando precisava pagar taxa r 30100 ativação conta enjoei  considerando nova plataforma  valor pago dessa taxa reembolsavel junto valor qeu receberei plataforma  recebi email realizei pagamento taxa  seguida recebi mensagem whatsapp realizar procedimentos necessários receber pagamento compra  nunca utilizei plataforma  realizando processos solicitados  enviou codigo celular compartilhei codigo  isso  seguida acesso instagram sumiu  conta cachorra logo recebi mensagem informando havia postado story  ver sido hackeada roubada  consigo acessar instagram pois trocou numero telefone email ,noite
67,OUTRAS FRAUDES,CONSUMADO,CUIABA,ALTOS DO COXIPO,INTERNET,2024-08-15 17:00:00.000,1970-01-01 17:00:00,OUTRO(S),FEMININO,27.0,SUPERIOR COMPLETO,enquanto trabalho recebi mensangens amigos informando instagram publicações investimentos financeiros  conferir percebi conta havia sido hackeada  desde consigo acesso pois pessoa trocou email segurança  durante dia instagram notificou alguem tentando acessalo estado paulo recusei acesso diversas vezes  assim pessoa conseguiu hackear  motivo registro boletim ,tarde
68,ESTELIONATO,CONSUMADO,CUIABA,DOM AQUINO,INTERNET,2024-07-29 00:00:00.000,1970-01-01 12:32:00,OUTRO(S),FEMININO,44.0,2º GRAU COMPLETO,comunicante denuncia vitima estelionato  pesquisou google respeito  bota fora  havia diversos anuncios  escolheu passou conversar numero diziam  locação caçamba   após negociação comunicante realizou pix r 18999 reais banco bradesco  destinado pessoa nome franciely linhares cpf astropay  posteriormente percebeu parou responder  atende ligações  bota fora  chegou  tendo vista ter ,tarde
69,ESTELIONATO,CONSUMADO,CUIABA,CENTRO NORTE,INTERNET,2024-07-18 00:00:00.000,1970-01-01 15:00:00,OUTRO(S),MASCULINO,37.0,PREJUDICADO, dia 16     meio anúncio fiz venda veículo jeep regade preto site webmotors  informou estaria adquirir veículo utilização negócio imobiliário estaria realizar sócio  valor negociado pagamento vista  50  sexta feira  190724  cpf após realizar vistoria veículo  disse concordar continuidade transação  ocasião partes dirigiram cartório 6º ofício  assinatura autorização transferência propriedade veículo  comunicante solicitou  previamente assinatura documentos  pagamento realizado  todavia  insistiu somente faria pagamento após assinatura documento  partir 1430 minutos  comunicante passou aguardar sr promovesse pagamento veículo  enviou dois comprovantes pagamentos  desconfiar autenticidade documentos  comunicante enviou gerente conta junto banco brasil  obtendo informação comprovante pagamento falso  comunicante informou sr douglas havia recebido qualquer valor  motivo qual  devido pagamento  havia motivo entrega veículo  constatouse sra bruna praticaram golpe chamado falso intermediário  ato seguinte  comunicante informou departamento trânsito  intenção cancelamento comunicação venda  devidamente providenciado  que  sr douglas  disse carro cunhado indicou conta terceiro depósito  nome sra bruna macedo neves  valor combinado 8220500 transferência bancária feita betel  consulta anúncios site webmotors  veículo idêntico negociado possui menor valor 102 mil ,tarde
